b7        	7   	j1  	y2  	j
b7        	7   	j2  	y1  	j
b7        	7   	t   	a   	t
b7        	8   	j1  	y1  	j
b7        	8   	j2  	t   	j
b7        	8   	c   	y2  	c
b7        	9   	t   	y2  	t
b7        	9   	c   	y1  	c
b7        	10  	j1  	c   	j
b7        	10  	j2  	a   	j
b7        	10  	t   	y1  	t
b89       	1   	t1  	y1  	t
b89       	1   	c   	j2  	c
b89       	1   	a   	j1  	a
b89       	2   	t1  	j2  	t
b89       	2   	y2  	j1  	y
b89       	2   	a   	c   	a
b89       	3   	j1  	t1  	j
b89       	3   	j2  	t2  	j
b89       	3   	c   	y2  	c
b89       	4   	a   	j2  	a
b89       	4   	t1  	j1  	t
b89       	4   	t2  	y1  	t
b89       	5   	y1  	c   	y
b89       	5   	t2  	y2  	t
b89       	6   	y1  	j1  	y
b89       	6   	y2  	a   	y
b89       	6   	t2  	j2  	t
b89       	7   	j1  	t2  	j
b89       	7   	j2  	y2  	j
b89       	7   	y1  	t1  	y
b89       	7   	a   	c   	a
b89       	8   	j1  	c   	j
b89       	8   	j2  	y1  	j
b89       	8   	y2  	t2  	y
b89       	8   	t1  	a   	t
b89       	9   	y2  	t1  	y
b89       	9   	c   	y1  	c
b89       	9   	t2  	a   	t
b89       	10  	j1  	y2  	j
b89       	10  	j2  	t1  	j
b89       	10  	y1  	a   	y
b89       	10  	c   	t2  	c
